ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Kingdom (BS)	Phylum (BS)	Class (BS)	Order (BS)	Family (BS)	Genus (BS)	Species (BS)
Seq_1	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Tychonema CCAP 1459-11B	NA	100	100	100	100	100	100	100
Seq_2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	mosselii	100	100	100	100	100	100	60
Seq_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	NA	100	100	100	100	100	100	97
Seq_4	Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria Incertae Sedis	Unknown Family	Leptolyngbya EcFYyyy-00	NA	100	100	100	100	100	100	100
Seq_5	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	NA	NA	100	100	100	100	100	100	100
Seq_6	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Listeria	monocytogenes	100	100	100	100	100	100	100
Seq_7	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Archangium	gephyra	100	100	100	100	100	56	55
Seq_8	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	NA	NA	100	100	100	100	100	97	97
Seq_9	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	NA	NA	NA	100	100	100	100	100	100	100
Seq_10	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	NA	NA	100	100	100	100	97	97	97
Seq_11	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	NA	NA	100	100	100	100	93	92	92
Seq_12	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	aureus	100	100	100	100	100	100	100
Seq_13	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter	NA	100	100	100	100	100	100	100
Seq_14	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	NA	100	100	100	100	99	79	68
Seq_15	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	NA	100	100	100	100	100	62	62
Seq_16	Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria Incertae Sedis	Unknown Family	Leptolyngbya EcFYyyy-00	NA	100	100	100	100	100	100	100
Seq_17	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	parafulva	100	100	100	100	100	100	61
Seq_18	Bacteria	Firmicutes	Bacilli	Thermicanales	Thermicanaceae	Thermicanus	NA	100	100	100	100	100	100	91
Seq_19	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	NA	NA	NA	100	100	100	100	99	99	99
