merged_sample_name	sample_name	Read1_file	input	filtered	denoised	merged	tabled	nonchim
661Roey001-N1-2_S1_L001	661Roey001-N1-2_S1_L001	661Roey001-N1-2_S1_L001_R1_001_noPrimers.fastq.gz	11637	11482	11418	11297	11297	10927
661Roey002-N1-3_S2_L001	661Roey002-N1-3_S2_L001	661Roey002-N1-3_S2_L001_R1_001_noPrimers.fastq.gz	26458	26047	25668	25163	25163	24917
661Roey003-N1-4_S3_L001	661Roey003-N1-4_S3_L001	661Roey003-N1-4_S3_L001_R1_001_noPrimers.fastq.gz	27580	27218	27015	26426	26401	25618
661Roey004-N1-5_S4_L001	661Roey004-N1-5_S4_L001	661Roey004-N1-5_S4_L001_R1_001_noPrimers.fastq.gz	24616	24281	24086	23696	23696	23520
661Roey005-N1-6_S5_L001	661Roey005-N1-6_S5_L001	661Roey005-N1-6_S5_L001_R1_001_noPrimers.fastq.gz	28701	28205	27771	27105	27105	26755
661Roey006-N1-7_S6_L001	661Roey006-N1-7_S6_L001	661Roey006-N1-7_S6_L001_R1_001_noPrimers.fastq.gz	118610	116371	114808	110428	110423	107096
661Roey007-N1-8_S7_L001	661Roey007-N1-8_S7_L001	661Roey007-N1-8_S7_L001_R1_001_noPrimers.fastq.gz	275671	267529	263543	224861	224773	213676
661Roey008-N1-9_S8_L001	661Roey008-N1-9_S8_L001	661Roey008-N1-9_S8_L001_R1_001_noPrimers.fastq.gz	177642	170464	167976	128977	128951	122487
661Roey009-N1-10_S9_L001	661Roey009-N1-10_S9_L001	661Roey009-N1-10_S9_L001_R1_001_noPrimers.fastq.gz	183352	180004	176158	170521	170392	162844
661Roey010-N1-11_S10_L001	661Roey010-N1-11_S10_L001	661Roey010-N1-11_S10_L001_R1_001_noPrimers.fastq.gz	82524	81133	79901	78744	78744	77233
661Roey011-Mock-com_S11_L001	661Roey011-Mock-com_S11_L001	661Roey011-Mock-com_S11_L001_R1_001_noPrimers.fastq.gz	56215	54873	54335	53623	53617	49237
661Roey012-N3-2_S12_L001	661Roey012-N3-2_S12_L001	661Roey012-N3-2_S12_L001_R1_001_noPrimers.fastq.gz	124074	119737	117975	96161	96130	92843
661Roey013-N3-3_S13_L001	661Roey013-N3-3_S13_L001	661Roey013-N3-3_S13_L001_R1_001_noPrimers.fastq.gz	104993	101687	100089	76416	76396	74431
661Roey014-N3-4_S14_L001	661Roey014-N3-4_S14_L001	661Roey014-N3-4_S14_L001_R1_001_noPrimers.fastq.gz	34072	33505	32863	32187	32184	31595
661Roey015-N3-5_S15_L001	661Roey015-N3-5_S15_L001	661Roey015-N3-5_S15_L001_R1_001_noPrimers.fastq.gz	27197	26862	26641	26278	26278	25736
661Roey016-N3-6_S16_L001	661Roey016-N3-6_S16_L001	661Roey016-N3-6_S16_L001_R1_001_noPrimers.fastq.gz	28648	28230	27933	27442	27442	26931
661Roey017-N3-7_S17_L001	661Roey017-N3-7_S17_L001	661Roey017-N3-7_S17_L001_R1_001_noPrimers.fastq.gz	57179	56120	55375	54100	54042	53182
661Roey018-N3-8_S18_L001	661Roey018-N3-8_S18_L001	661Roey018-N3-8_S18_L001_R1_001_noPrimers.fastq.gz	267119	262779	259103	248302	248296	230476
661Roey019-N3-9_S19_L001	661Roey019-N3-9_S19_L001	661Roey019-N3-9_S19_L001_R1_001_noPrimers.fastq.gz	289642	284539	279821	267783	266507	240986
661Roey020-N3-10_S20_L001	661Roey020-N3-10_S20_L001	661Roey020-N3-10_S20_L001_R1_001_noPrimers.fastq.gz	229394	225573	221421	210646	210581	185328
661Roey021-N3-11_S21_L001	661Roey021-N3-11_S21_L001	661Roey021-N3-11_S21_L001_R1_001_noPrimers.fastq.gz	246091	241869	237899	230327	229895	213373
661Roey022-N5-2_S22_L001	661Roey022-N5-2_S22_L001	661Roey022-N5-2_S22_L001_R1_001_noPrimers.fastq.gz	6862	6743	6714	6676	6676	6674
661Roey023-N5-3_S23_L001	661Roey023-N5-3_S23_L001	661Roey023-N5-3_S23_L001_R1_001_noPrimers.fastq.gz	13635	13454	13379	13277	13007	12991
661Roey024-N5-4_S24_L001	661Roey024-N5-4_S24_L001	661Roey024-N5-4_S24_L001_R1_001_noPrimers.fastq.gz	17817	17483	17417	17264	17264	17249
661Roey025-N5-5_S25_L001	661Roey025-N5-5_S25_L001	661Roey025-N5-5_S25_L001_R1_001_noPrimers.fastq.gz	20673	20376	20170	19792	19714	19429
661Roey026-N5-6_S26_L001	661Roey026-N5-6_S26_L001	661Roey026-N5-6_S26_L001_R1_001_noPrimers.fastq.gz	11241	11120	11057	10999	10999	10986
661Roey027-N5-7_S27_L001	661Roey027-N5-7_S27_L001	661Roey027-N5-7_S27_L001_R1_001_noPrimers.fastq.gz	23296	22936	22488	22200	22172	21926
661Roey028-N5-8_S28_L001	661Roey028-N5-8_S28_L001	661Roey028-N5-8_S28_L001_R1_001_noPrimers.fastq.gz	15037	14823	14723	14580	14580	13939
661Roey029-N5-9_S29_L001	661Roey029-N5-9_S29_L001	661Roey029-N5-9_S29_L001_R1_001_noPrimers.fastq.gz	25517	24425	24106	16868	16868	16574
661Roey030-N5-10_S30_L001	661Roey030-N5-10_S30_L001	661Roey030-N5-10_S30_L001_R1_001_noPrimers.fastq.gz	29097	27711	27332	19316	19316	18854
661Roey031-N5-11_S31_L001	661Roey031-N5-11_S31_L001	661Roey031-N5-11_S31_L001_R1_001_noPrimers.fastq.gz	19499	18377	18141	11019	10994	10986
661Roey032-N7-2_S32_L001	661Roey032-N7-2_S32_L001	661Roey032-N7-2_S32_L001_R1_001_noPrimers.fastq.gz	27509	27027	26717	26151	25344	25144
661Roey033-N7-3_S33_L001	661Roey033-N7-3_S33_L001	661Roey033-N7-3_S33_L001_R1_001_noPrimers.fastq.gz	16083	15856	15748	15573	15565	15529
661Roey034-N7-4_S34_L001	661Roey034-N7-4_S34_L001	661Roey034-N7-4_S34_L001_R1_001_noPrimers.fastq.gz	23130	22838	22682	22246	22246	22172
661Roey035-N7-5_S35_L001	661Roey035-N7-5_S35_L001	661Roey035-N7-5_S35_L001_R1_001_noPrimers.fastq.gz	25478	25015	24764	23346	23346	23197
661Roey036-N7-6_S36_L001	661Roey036-N7-6_S36_L001	661Roey036-N7-6_S36_L001_R1_001_noPrimers.fastq.gz	19051	18806	18744	18586	18343	18262
661Roey037-N7-7_S37_L001	661Roey037-N7-7_S37_L001	661Roey037-N7-7_S37_L001_R1_001_noPrimers.fastq.gz	23033	22754	22678	22469	22469	22415
661Roey038-N7-8_S38_L001	661Roey038-N7-8_S38_L001	661Roey038-N7-8_S38_L001_R1_001_noPrimers.fastq.gz	25729	25285	25111	24298	23592	23532
661Roey039-N7-9_S39_L001	661Roey039-N7-9_S39_L001	661Roey039-N7-9_S39_L001_R1_001_noPrimers.fastq.gz	22856	21596	21358	12979	12979	12797
661Roey040-N7-10_S40_L001	661Roey040-N7-10_S40_L001	661Roey040-N7-10_S40_L001_R1_001_noPrimers.fastq.gz	29155	28652	28173	27654	27637	27396
661Roey041-N7-11_S41_L001	661Roey041-N7-11_S41_L001	661Roey041-N7-11_S41_L001_R1_001_noPrimers.fastq.gz	9968	9854	9786	9728	9728	9675
661Roey042-N9-2_S42_L001	661Roey042-N9-2_S42_L001	661Roey042-N9-2_S42_L001_R1_001_noPrimers.fastq.gz	21222	20933	20737	20571	20571	18449
