ASV	661Roey001-N1-2_S1	661Roey002-N1-3_S2	661Roey003-N1-4_S3	661Roey004-N1-5_S4	661Roey005-N1-6_S5	661Roey006-N1-7_S6	661Roey007-N1-8_S7	661Roey008-N1-9_S8	661Roey009-N1-10_S9	661Roey010-N1-11_S10	661Roey012-N3-2_S12	661Roey013-N3-3_S13	661Roey014-N3-4_S14	661Roey015-N3-5_S15	661Roey016-N3-6_S16	661Roey017-N3-7_S17	661Roey018-N3-8_S18	661Roey019-N3-9_S19	661Roey020-N3-10_S20	661Roey021-N3-11_S21	661Roey022-N5-2_S22	661Roey023-N5-3_S23	661Roey024-N5-4_S24	661Roey025-N5-5_S25	661Roey026-N5-6_S26	661Roey027-N5-7_S27	661Roey028-N5-8_S28	661Roey029-N5-9_S29	661Roey030-N5-10_S30	661Roey031-N5-11_S31	661Roey032-N7-2_S32	661Roey033-N7-3_S33	661Roey034-N7-4_S34	661Roey035-N7-5_S35	661Roey036-N7-6_S36	661Roey037-N7-7_S37	661Roey038-N7-8_S38	661Roey039-N7-9_S39	661Roey040-N7-10_S40	661Roey041-N7-11_S41	661Roey042-N9-2_S42	661Roey043-N9-3_S43	661Roey044-N9-4_S44	661Roey045-N9-5_S45	661Roey046-N9-6_S46	661Roey047-N9-7_S47	661Roey048-N9-8_S48	661Roey049-N9-9_S49	661Roey050-N9-10_S50	661Roey051-N9-11_S51	661Roey052-N11-2_S52	661Roey053-N11-3_S53	661Roey054-N11-4_S54	661Roey055-N11-5_S55	661Roey056-N11-6_S56	661Roey057-N11-7_S57	661Roey058-N11-8_S58	661Roey059-N11-9_S59	661Roey060-N11-10_S60	661Roey061-N11-11_S61	661Roey063-N13-2_S63	661Roey064-N13-3_S64	661Roey065-N13-4_S65	661Roey066-N13-5_S66	661Roey067-N13-6_S67	661Roey068-N13-7_S68	661Roey069-N13-8_S69	661Roey070-N13-9_S70	661Roey071-N13-10_S71	661Roey072-N13-11_S72	661Roey074-N15-2_S74	661Roey075-N15-3_S75	661Roey076-N15-4_S76	661Roey077-N15-5_S77	661Roey078-N15-6_S78	661Roey079-N15-7_S79	661Roey080-N15-8_S80	661Roey081-N15-9_S81	661Roey082-N15-10_S82	661Roey083-N15-11_S83	Angel085-N17-2_S85	Angel086-N17-3_S86	Angel087-N17-4_S87	Angel088-N17-5_S88	Angel089-N17-6_S89	Angel090-N17-7_S90	Angel091-N17-8_S91	Angel092-N17-9_S92	Angel093-N17-10_S93	Angel094-N17-11_S94	Angel095-N19-2_S95	Angel096-N19-3_S96	Angel097-N19-4_S97	Angel098-N19-5_S98	Angel099-N19-6_S99	Angel100-N19-7_S100	Angel101-N19-8_S101	Angel102-N19-9_S102	Angel103-N19-10_S103	Angel104-N19-11_S104	Angel105-TG1-2_S105	Angel106-TG1-3_S106	Angel107-TG1-4_S107	Angel108-TG1-5_S108	Angel109-TG1-6_S109	Angel110-TG1-7_S110	Angel111-TG1-8_S111	Angel112-TG1-9_S112	Angel113-TG1-10_S113	Angel114-TG1-11_S114	Angel115-TG3-2_S115	Angel116-TG3-3_S116	Angel117-TG3-4_S117	Angel118-TG3-5_S118	Angel119-TG3-6_S119	Angel120-TG3-7_S120	Angel121-TG3-8_S121	Angel122-TG3-9_S122	Angel123-TG3-10_S123	Angel124-TG3-11_S124	Angel125-TG5-2_S125	Angel126-TG5-3_S126	Angel127-TG5-4_S127	Angel128-TG5-5_S128	Angel129-TG5-6_S129	Angel130-TG5-7_S130	Angel131-TG5-8_S131	Angel132-TG5-9_S132	Angel133-TG5-10_S133	Angel134-TG5-11_S134	Angel135-TG7-2_S135	Angel136-TG7-3_S136	Angel137-TG7-4_S137	Angel138-TG7-5_S138	Angel139-TG7-6_S139	Angel140-TG7-7_S140	Angel141-TG7-8_S141	Angel142-TG7-9_S142	Angel143-TG7-10_S143	Angel144-TG7-11_S144	Angel145-TG9-2_S145	Angel146-TG9-3_S146	Angel147-TG9-4_S147	Angel148-TG9-5_S148	Angel149-TG9-6_S149	Angel150-TG9-7_S150	Angel151-TG9-8_S151	Angel152-TG9-9_S152	Angel153-TG9-10_S153	Angel154-TG9-11_S154	Roey155-TG11-2_S155	Roey156-TG11-3_S156	Roey157-TG11-4_S157	Roey158-TG11-5_S158	Roey159-TG11-6_S159	Roey160-TG11-7_S160	Roey161-TG11-8_S161	Roey162-TG11-9_S162	Roey163-TG11-10_S163	Roey164-TG11-11_S164	Roey165-TG13-2_S165	Roey166-TG13-3_S166	Roey167-TG13-4_S167	Roey168-TG13-5_S168	Roey169-TG13-6_S169	Roey170-TG13-7_S170	Roey171-TG13-8_S171	Roey172-TG13-9_S172	Roey173-TG13-10_S173	Roey174-TG13-11_S174	Roey175-TG15-2_S175	Roey176-TG15-3_S176	Roey177-TG15-4_S177	Roey178-TG15-5_S178	Roey179-TG15-6_S179	Roey180-TG15-7_S180	Roey181-TG15-8_S181	Roey182-TG15-9_S182	Roey183-TG15-10_S183	Roey184-TG15-11_S184	Roey185-TG17-2_S185	Roey186-TG17-3_S186	Roey187-TG17-4_S187	Roey188-TG17-5_S188	Roey189-TG17-6_S189	Roey190-TG17-7_S190	Roey191-TG17-8_S191	Roey192-TG17-9_S192	Roey193-TG17-10_S193	Roey194-TG17-11_S194	Roey195-TG19-2_S195	Roey196-TG19-3_S196	Roey197-TG19-4_S197	Roey198-TG19-5_S198	Roey199-TG19-6_S199	Roey200-TG19-7_S200	Roey201-TG19-8_S201	Roey202-TG19-9_S202	Roey203-TG19-10_S203	Roey204-TG19-11_S204
Seq_1	593	1809	425	743	1709	5527	17682	17675	22350	17591	16659	6999	2538	3786	2637	6172	26632	33413	32657	52135	0	0	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	20	11	0	0	0	2	0	6	0	0	0	1	0	0	0	0	0	0	0	0	532	3257	2643	0	2	1	0	0	1	0	2096	1468	578	4	0	0	43	0	0	1078	0	1736	2827	0	5	0	0	80	893	543	1955	1123	5117	6	0	11	0	1409	1203	986	0	4243	0	27246	30172	22203	22904	31982	39117	46691	52341	43536	54200	0	228	586	2183	8146	9232	10345	18092	10899	2743	59	0	0	79	0	83	0	0	0	0	12	10	0	10	412	0	0	195	33	866	7	0	0	0	0	0	0	0	0	0	0	1219	0	594	2	14	0	1155	1305	480	0	3	0	0	1	0	0	1238	2	0	0	0	0	0	0	207	6	380	501	1314	0	0	1660	1651	1981	5313	3264	3150	4086	2576	0	8	6	16	253	190	867	2711	2415	1158
Seq_2	906	322	1013	2017	877	1	235	22	45	161	123	60	277	504	267	589	468	402	271	703	1429	1755	2602	2096	3641	2795	2081	113	0	49	2029	3744	1961	3592	6098	3701	4830	403	1153	433	949	2120	3712	2605	4184	458	1433	900	1429	2031	2076	3863	6442	1267	2120	1829	3165	3085	1644	709	1645	4548	2761	2561	2904	3854	3996	3517	2319	1023	1484	1057	1284	4725	2348	329	2587	2206	1651	743	3837	4866	2543	3182	2160	3145	1597	1283	391	234	1365	2060	1407	1668	3730	2098	1224	270	838	2370	1035	762	592	494	118	129	205	54	304	166	1465	2286	2807	674	3929	3283	1822	1283	1116	1003	5752	677	6028	1804	3990	147	374	1502	2040	1931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	2808	2402	1522	719	3202	2218	1261	406	1374	2620	2732	1813	1197	4644	1583	2234	1409	1776	926	1208	3640	717	1205	2099	213	595	2051	2632	1792	171	2	0	3	0	0	0	0	11	0	0
Seq_3	0	263	0	546	435	930	1355	959	2660	507	803	388	653	444	264	947	1760	3062	2108	565	0	0	0	0	0	0	0	0	474	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	240	3788	0	0	0	0	0	0	0	2	3	3	0	0	0	0	13	0	0	925	692	4178	2201	0	0	0	0	0	0	0	4980	7461	8036	0	0	0	0	0	0	2	0	0	0	1409	3660	5004	7779	12342	11831	9123	8601	4684	5471	0	0	158	0	2945	1364	1626	2260	469	611	13	0	0	0	0	1211	0	605	0	0	0	2	0	0	575	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	684	771	546	506	395	0	0	0	0	0	0	665	608	78	0	0	0	0	377	0	1434	4561	6538	1675	0	538	0	0	0	337	2909	1993	1118	2155	1707	0	0	0	417	736	367	1071	3269	8492	4348	0
Seq_4	0	0	0	0	0	0	0	4	86	0	153	0	0	73	0	0	92	41	210	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536	0	2017	8376	7453	0	0	0	0	0	0	1771	1612	3768	612	470	0	0	854	0	0	106	1040	5588	6714	311	454	0	974	6	1098	982	2448	9023	8982	3	0	0	0	0	0	0	2232	434	615	11	163	5	15	39	32	60	81	124	83	0	0	0	0	0	0	0	0	0	226	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	737	0	1567	1011	2882	2979	5674	9611	12906	4958	0	0	0	539	998	101	2026	1543	782	418	0	0	0	182	205	2059	5279	7666	8609	5368	0	0	0	0	460	2063	1449	4934	6931	1436	0	0	0	33	783	918	1550	7094	5587	330
Seq_5	0	0	0	0	0	0	159	130	0	0	0	4	0	0	0	0	0	54	14	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1032	562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1039	1157	0	0	167	0	1109	271	4581	10099	22595	22862	0	0	0	504	0	0	0	0	465	0	0	281	45	108	329	180	187	113	117	98	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	767	1421	241	361	196	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	1044	2251	5473	3071	290	0	0	0	0	11	357	2705	1713	387	486	0	0	46	2854	79	1450	1474	12954	23036	23747	4245
Seq_7	196	616	435	88	434	3104	8712	5052	3766	721	574	262	155	183	328	1108	6843	6835	4740	2795	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	4252	1012	1289	1330	1897	5502	11975	16280	12304	15069	0	0	0	0	0	0	1302	1525	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Seq_8	193	288	204	180	939	3982	7797	1775	1489	678	0	0	114	0	43	158	1367	635	583	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	339	1030	5407	2728	0	0	0	0	5	328	994	7003	9805	3177	0	0	0	0	0	0	0	0	0	0	1999	4175	6026	7776	4145	2893	1625	817	289	259	0	0	0	591	1931	0	0	0	0	0	2	0	0	75	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	538	202	0	560	1152	0	180	0	0	0	0	0	474	58	2002	0	283	216	0	0	0	17	653	593	1930	6272	15357	2628	0
Seq_9	186	431	350	747	741	1930	1897	1191	539	337	3119	2224	941	871	1443	1879	4696	2672	1282	940	0	0	0	0	0	0	238	186	70	0	0	0	0	0	0	0	0	0	0	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1982	929	0	0	0	0	0	0	475	0	0	0	0	0	0	0	0	0	1	447	797	532	0	573	0	0	0	0	1234	3186	3964	2958	0	0	7	0	0	0	0	0	0	0	2098	3484	3780	2178	3647	3315	2442	2456	1114	1746	200	27	100	8	1065	2507	671	1654	1048	0	4	0	0	0	1584	837	148	390	1058	516	2	2	28	0	742	0	242	827	404	324	0	0	0	0	0	0	0	1680	0	0	0	0	320	1074	1486	0	47	708	8	0	0	0	0	0	0	0	0	0	0	0	0	326	57	0	400	978	1781	1289	132	0	0	0	0	471	1187	815	1766	501	0	0	0	0	0	16	1234	1459	2257	6805	2041	84
Seq_10	0	0	0	0	0	32	455	314	97	97	0	0	0	0	0	0	16	48	7	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	285	0	0	0	0	1689	0	3359	4851	0	0	0	0	0	2038	0	1279	145	0	0	0	0	0	0	0	0	0	392	434	0	0	0	2524	0	0	465	1529	8011	7994	0	0	0	0	0	0	0	0	0	0	2953	1726	1954	1743	2076	3588	4743	5580	4777	4708	0	0	0	0	0	0	0	0	0	1	14	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	98	1273	2386	1952	610	0	0	0	0	3	0	0	871	0	0	2	0	25	0	0	501	74	0	1553	0	0	0	0	0	0	1142	0	166	1055	192	0	261	0	16	1273	1151	2945	8560	9830	1325
Seq_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583	3770	1825	0	0	0	0	0	0	1022	775	0	0	0	0	0	0	0	0	0	0	1371	1752	0	420	0	561	0	0	497	3048	10863	7277	0	0	0	0	0	0	0	0	358	0	776	252	110	0	413	492	687	924	970	922	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	1336	639	677	0	0	0	0	0	0	0	0	0	0	0	0	35	0	2071	2701	7043	3857	5506	1482	0	0	0	630	241	0	709	474	1366	317	0	0	1006	275	628	1980	3351	7662	12272	1526
