merged_sample_name,sample_name,Read1_file,input,filtered,denoised,merged,tabled,nonchim,Sample,Treatment,Label (18O),Hours,TNA ext. date,TNA ext. batch,PCR date,PCR batch,Sample no.,Fraction no.,Density (old_calc),Control,16S copies,Density (nD-TC),Density (g ml-1),Density zone,Comparison_pair,Library size
Roey215-blank-10_S215_L001,Roey215-blank-10_S215_L001,Roey215-blank-10_S215_L001_R1_001_noPrimers.fastq.gz,734,688,661,629,629,602,blank_10,NA,Unlabelled,96,NA,1,06/05/2021,1,NA,10,NA,TRUE,47.08,1.4,1.7,Light,NA,602
Roey216-blank-11_S216_L001,Roey216-blank-11_S216_L001,Roey216-blank-11_S216_L001_R1_001_noPrimers.fastq.gz,23794,23424,23273,22793,22793,22359,blank_11,NA,Unlabelled,96,NA,1,06/05/2021,1,NA,11,NA,TRUE,17.77,1.4,1.68,Light,NA,22187
Roey207-blank-2_S207_L001,Roey207-blank-2_S207_L001,Roey207-blank-2_S207_L001_R1_001_noPrimers.fastq.gz,28033,27623,27329,26631,26617,26116,blank_2,NA,Unlabelled,96,NA,1,06/05/2021,1,NA,2,NA,TRUE,302.54,1.41,1.78,Heavy,NA,25992
Roey208-blank-3_S208_L001,Roey208-blank-3_S208_L001,Roey208-blank-3_S208_L001_R1_001_noPrimers.fastq.gz,23911,23575,23358,22973,22973,22612,blank_3,NA,Unlabelled,96,NA,1,06/05/2021,1,NA,3,NA,TRUE,30.16,1.41,1.77,Heavy,NA,22310
Roey209-blank-4_S209_L001,Roey209-blank-4_S209_L001,Roey209-blank-4_S209_L001_R1_001_noPrimers.fastq.gz,24011,23609,23392,23226,23226,23215,blank_4,NA,Unlabelled,96,NA,1,06/05/2021,1,NA,4,NA,TRUE,33.44,1.41,1.76,Heavy,NA,22995
Roey210-blank-5_S210_L001,Roey210-blank-5_S210_L001,Roey210-blank-5_S210_L001_R1_001_noPrimers.fastq.gz,12740,12580,12482,12430,12430,12418,blank_5,NA,Unlabelled,96,NA,1,06/05/2021,1,NA,5,NA,TRUE,23.98,1.4,1.75,Heavy,NA,12303
Roey211-blank-6_S211_L001,Roey211-blank-6_S211_L001,Roey211-blank-6_S211_L001_R1_001_noPrimers.fastq.gz,23037,22859,22750,22586,22586,22576,blank_6,NA,Unlabelled,96,NA,1,06/05/2021,1,NA,6,NA,TRUE,36.99,1.4,1.74,Heavy,NA,22408
Roey212-blank-7_S212_L001,Roey212-blank-7_S212_L001,Roey212-blank-7_S212_L001_R1_001_noPrimers.fastq.gz,12549,12387,12315,12235,12235,12231,blank_7,NA,Unlabelled,96,NA,1,06/05/2021,1,NA,7,NA,TRUE,16.6,1.4,1.73,Light,NA,12170
Roey213-blank-8_S213_L001,Roey213-blank-8_S213_L001,Roey213-blank-8_S213_L001_R1_001_noPrimers.fastq.gz,11062,10900,10779,10697,10697,10674,blank_8,NA,Unlabelled,96,NA,1,06/05/2021,1,NA,8,NA,TRUE,22.16,1.4,1.72,Light,NA,10635
Roey214-blank-9_S214_L001,Roey214-blank-9_S214_L001,Roey214-blank-9_S214_L001_R1_001_noPrimers.fastq.gz,14699,14316,14185,13637,13637,13446,blank_9,NA,Unlabelled,96,NA,1,06/05/2021,1,NA,9,NA,TRUE,48.57,1.4,1.71,Light,NA,13393
661Roey011-Mock-com_S11_L001,661Roey011-Mock-com_S11_L001,661Roey011-Mock-com_S11_L001_R1_001_noPrimers.fastq.gz,56988,55505,55007,54244,54238,49805,Mcok,Mock,NA,NA,NA,NA,06/05/2021,1,NA,NA,NA,FALSE,1,NA,NA,NA,NA,49237
661Roey084-Mock-com-2_S84_L001,661Roey084-Mock-com-2_S84_L001,661Roey084-Mock-com-2_S84_L001_R1_001_noPrimers.fastq.gz,115797,113682,113104,112498,112488,102664,Mcok,Mock,NA,NA,NA,NA,06/05/2021,1,NA,NA,NA,FALSE,1,NA,NA,NA,NA,102174
661Roey001-N1-2_S1_L001,661Roey001-N1-2_S1_L001,661Roey001-N1-2_S1_L001_R1_001_noPrimers.fastq.gz,11735,11570,11506,11372,11372,10999,Na_1,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,1,2,NA,FALSE,348.17,1.41,1.77,Heavy,1,10927
661Roey002-N1-3_S2_L001,661Roey002-N1-3_S2_L001,661Roey002-N1-3_S2_L001_R1_001_noPrimers.fastq.gz,26709,26257,25845,25264,25264,25146,Na_1,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,1,3,NA,FALSE,300.23,1.41,1.76,Heavy,1,24917
661Roey003-N1-4_S3_L001,661Roey003-N1-4_S3_L001,661Roey003-N1-4_S3_L001_R1_001_noPrimers.fastq.gz,27835,27453,27224,26604,26575,25838,Na_1,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,1,4,NA,FALSE,965.13,1.4,1.75,Heavy,1,25618
661Roey004-N1-5_S4_L001,661Roey004-N1-5_S4_L001,661Roey004-N1-5_S4_L001_R1_001_noPrimers.fastq.gz,24846,24494,24200,23793,23793,23697,Na_1,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,1,5,NA,FALSE,1697.53,1.4,1.74,Heavy,1,23520
661Roey005-N1-6_S5_L001,661Roey005-N1-6_S5_L001,661Roey005-N1-6_S5_L001_R1_001_noPrimers.fastq.gz,28969,28453,28002,27193,27193,26858,Na_1,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,1,6,NA,FALSE,2838.46,1.4,1.73,Heavy,1,26755
661Roey006-N1-7_S6_L001,661Roey006-N1-7_S6_L001,661Roey006-N1-7_S6_L001_R1_001_noPrimers.fastq.gz,119723,117318,115562,110565,110565,108311,Na_1,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,1,7,NA,FALSE,2924.85,1.4,1.72,Light,1,107096
661Roey007-N1-8_S7_L001,661Roey007-N1-8_S7_L001,661Roey007-N1-8_S7_L001_R1_001_noPrimers.fastq.gz,278198,269632,265258,224788,224699,216226,Na_1,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,1,8,NA,FALSE,3896.13,1.4,1.71,Light,1,213676
661Roey008-N1-9_S8_L001,661Roey008-N1-9_S8_L001,661Roey008-N1-9_S8_L001_R1_001_noPrimers.fastq.gz,179441,171929,169039,128636,128612,124041,Na_1,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,1,9,NA,FALSE,3848.41,1.4,1.7,Light,1,122487
661Roey009-N1-10_S9_L001,661Roey009-N1-10_S9_L001,661Roey009-N1-10_S9_L001_R1_001_noPrimers.fastq.gz,184846,181261,177183,170650,170519,165441,Na_1,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,1,10,NA,FALSE,1626.59,1.4,1.69,Light,1,162844
661Roey010-N1-11_S10_L001,661Roey010-N1-11_S10_L001,661Roey010-N1-11_S10_L001_R1_001_noPrimers.fastq.gz,83240,81747,80477,79126,79126,78053,Na_1,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,1,11,NA,FALSE,499,1.4,1.68,Light,1,77233
661Roey062-NTC-N1-5and19_S62_L001,661Roey062-NTC-N1-5and19_S62_L001,661Roey062-NTC-N1-5and19_S62_L001_R1_001_noPrimers.fastq.gz,17803,16556,16529,5880,5880,5870,Na_1,Restored,NA,NA,NA,NA,06/05/2021,1,NA,NA,NA,TRUE,1,NA,NA,NA,NA,5421
Angel105-TG1-2_S105_L001,Angel105-TG1-2_S105_L001,Angel105-TG1-2_S105_L001_R1_001_noPrimers.fastq.gz,136040,133154,129682,122183,122136,113780,Na_1,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,1,2,NA,FALSE,348.17,1.41,1.77,Heavy,1,110689
Angel106-TG1-3_S106_L001,Angel106-TG1-3_S106_L001,Angel106-TG1-3_S106_L001_R1_001_noPrimers.fastq.gz,169337,166129,163042,155248,155246,147111,Na_1,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,1,3,NA,FALSE,300.23,1.41,1.76,Heavy,1,143929
Angel107-TG1-4_S107_L001,Angel107-TG1-4_S107_L001,Angel107-TG1-4_S107_L001_R1_001_noPrimers.fastq.gz,233075,228424,222772,206929,206758,192665,Na_1,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,1,4,NA,FALSE,965.13,1.4,1.75,Heavy,1,188599
Angel108-TG1-5_S108_L001,Angel108-TG1-5_S108_L001,Angel108-TG1-5_S108_L001_R1_001_noPrimers.fastq.gz,302647,297141,291338,269037,268684,245063,Na_1,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,1,5,NA,FALSE,1697.53,1.4,1.74,Heavy,1,239617
Angel109-TG1-6_S109_L001,Angel109-TG1-6_S109_L001,Angel109-TG1-6_S109_L001_R1_001_noPrimers.fastq.gz,390229,384381,377922,344996,344746,295807,Na_1,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,1,6,NA,FALSE,2838.46,1.4,1.73,Heavy,1,291129
Angel110-TG1-7_S110_L001,Angel110-TG1-7_S110_L001,Angel110-TG1-7_S110_L001_R1_001_noPrimers.fastq.gz,375942,368865,360114,324375,323691,267711,Na_1,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,1,7,NA,FALSE,2924.85,1.4,1.72,Light,1,264588
Angel111-TG1-8_S111_L001,Angel111-TG1-8_S111_L001,Angel111-TG1-8_S111_L001_R1_001_noPrimers.fastq.gz,325142,319320,312197,281592,281132,230836,Na_1,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,1,8,NA,FALSE,3896.13,1.4,1.71,Light,1,226979
Angel112-TG1-9_S112_L001,Angel112-TG1-9_S112_L001,Angel112-TG1-9_S112_L001_R1_001_noPrimers.fastq.gz,395023,387360,376744,333372,332235,242657,Na_1,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,1,9,NA,FALSE,3848.41,1.4,1.7,Light,1,239611
Angel113-TG1-10_S113_L001,Angel113-TG1-10_S113_L001,Angel113-TG1-10_S113_L001_R1_001_noPrimers.fastq.gz,244152,239280,232945,213536,213416,184402,Na_1,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,1,10,NA,FALSE,1626.59,1.4,1.69,Light,1,179865
Angel114-TG1-11_S114_L001,Angel114-TG1-11_S114_L001,Angel114-TG1-11_S114_L001_R1_001_noPrimers.fastq.gz,255794,251819,247444,227354,226967,191287,Na_1,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,1,11,NA,FALSE,499,1.4,1.68,Light,1,188051
Roey206-NTC-TG7-11_S206_L001,Roey206-NTC-TG7-11_S206_L001,Roey206-NTC-TG7-11_S206_L001_R1_001_noPrimers.fastq.gz,17304,16265,16222,5649,5649,5629,Na_1,Natural,NA,NA,NA,NA,06/05/2021,1,NA,NA,NA,TRUE,1,NA,NA,NA,NA,5630
661Roey012-N3-2_S12_L001,661Roey012-N3-2_S12_L001,661Roey012-N3-2_S12_L001_R1_001_noPrimers.fastq.gz,125380,120832,118955,96299,96268,94139,Na_2,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,3,2,NA,FALSE,6.47,1.41,1.78,Heavy,2,92843
661Roey013-N3-3_S13_L001,661Roey013-N3-3_S13_L001,661Roey013-N3-3_S13_L001_R1_001_noPrimers.fastq.gz,105945,102501,100849,76418,76398,75027,Na_2,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,3,3,NA,FALSE,8.09,1.41,1.76,Heavy,2,74431
661Roey014-N3-4_S14_L001,661Roey014-N3-4_S14_L001,661Roey014-N3-4_S14_L001_R1_001_noPrimers.fastq.gz,34445,33830,33039,32245,32245,31848,Na_2,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,3,4,NA,FALSE,1,1.41,1.76,Heavy,2,31595
661Roey015-N3-5_S15_L001,661Roey015-N3-5_S15_L001,661Roey015-N3-5_S15_L001_R1_001_noPrimers.fastq.gz,27448,27089,26795,26180,26180,25803,Na_2,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,3,5,NA,FALSE,65.63,1.4,1.74,Heavy,2,25736
661Roey016-N3-6_S16_L001,661Roey016-N3-6_S16_L001,661Roey016-N3-6_S16_L001_R1_001_noPrimers.fastq.gz,28913,28473,28111,27455,27455,27162,Na_2,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,3,6,NA,FALSE,83.6,1.4,1.73,Heavy,2,26931
661Roey017-N3-7_S17_L001,661Roey017-N3-7_S17_L001,661Roey017-N3-7_S17_L001_R1_001_noPrimers.fastq.gz,57743,56599,55823,54106,54048,53664,Na_2,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,3,7,NA,FALSE,134.05,1.4,1.72,Light,2,53182
661Roey018-N3-8_S18_L001,661Roey018-N3-8_S18_L001,661Roey018-N3-8_S18_L001_R1_001_noPrimers.fastq.gz,269328,264668,260582,248676,248665,234247,Na_2,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,3,8,NA,FALSE,170.91,1.4,1.72,Light,2,230476
661Roey019-N3-9_S19_L001,661Roey019-N3-9_S19_L001,661Roey019-N3-9_S19_L001_R1_001_noPrimers.fastq.gz,291970,286476,281347,267679,266369,244730,Na_2,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,3,9,NA,FALSE,216.12,1.4,1.71,Light,2,240986
661Roey020-N3-10_S20_L001,661Roey020-N3-10_S20_L001,661Roey020-N3-10_S20_L001_R1_001_noPrimers.fastq.gz,231211,227115,222798,210392,210324,188562,Na_2,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,3,10,NA,FALSE,115.89,1.4,1.7,Light,2,185328
661Roey021-N3-11_S21_L001,661Roey021-N3-11_S21_L001,661Roey021-N3-11_S21_L001_R1_001_noPrimers.fastq.gz,248037,243528,239199,230647,230215,215255,Na_2,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,3,11,NA,FALSE,1,1.4,1.67,Light,2,213373
Angel115-TG3-2_S115_L001,Angel115-TG3-2_S115_L001,Angel115-TG3-2_S115_L001_R1_001_noPrimers.fastq.gz,24862,24424,24042,23567,23472,23303,Na_2,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,3,2,NA,FALSE,6.47,1.41,1.78,Heavy,2,23096
Angel116-TG3-3_S116_L001,Angel116-TG3-3_S116_L001,Angel116-TG3-3_S116_L001_R1_001_noPrimers.fastq.gz,25396,24990,24741,24194,24143,24033,Na_2,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,3,3,NA,FALSE,8.09,1.41,1.76,Heavy,2,23797
Angel117-TG3-4_S117_L001,Angel117-TG3-4_S117_L001,Angel117-TG3-4_S117_L001_R1_001_noPrimers.fastq.gz,29062,28467,27979,27342,27342,27242,Na_2,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,3,4,NA,FALSE,1,1.41,1.76,Heavy,2,26932
Angel118-TG3-5_S118_L001,Angel118-TG3-5_S118_L001,Angel118-TG3-5_S118_L001_R1_001_noPrimers.fastq.gz,43886,42755,42141,40437,40437,40288,Na_2,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,3,5,NA,FALSE,65.63,1.4,1.74,Heavy,2,39857
Angel119-TG3-6_S119_L001,Angel119-TG3-6_S119_L001,Angel119-TG3-6_S119_L001_R1_001_noPrimers.fastq.gz,167222,164026,161311,157258,157257,153741,Na_2,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,3,6,NA,FALSE,83.6,1.4,1.73,Heavy,2,151642
Angel120-TG3-7_S120_L001,Angel120-TG3-7_S120_L001,Angel120-TG3-7_S120_L001_R1_001_noPrimers.fastq.gz,137987,135298,132902,127132,126933,123918,Na_2,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,3,7,NA,FALSE,134.05,1.4,1.72,Light,2,121711
Angel121-TG3-8_S121_L001,Angel121-TG3-8_S121_L001,Angel121-TG3-8_S121_L001_R1_001_noPrimers.fastq.gz,233197,228744,224400,217600,216022,211315,Na_2,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,3,8,NA,FALSE,170.91,1.4,1.72,Light,2,208807
Angel122-TG3-9_S122_L001,Angel122-TG3-9_S122_L001,Angel122-TG3-9_S122_L001_R1_001_noPrimers.fastq.gz,175885,172685,169932,162880,162873,158119,Na_2,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,3,9,NA,FALSE,216.12,1.4,1.71,Light,2,155710
Angel123-TG3-10_S123_L001,Angel123-TG3-10_S123_L001,Angel123-TG3-10_S123_L001_R1_001_noPrimers.fastq.gz,113884,111906,109796,106665,106619,105497,Na_2,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,3,10,NA,FALSE,115.89,1.4,1.7,Light,2,103849
Angel124-TG3-11_S124_L001,Angel124-TG3-11_S124_L001,Angel124-TG3-11_S124_L001_R1_001_noPrimers.fastq.gz,29279,28786,28325,27462,27450,27359,Na_2,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,3,11,NA,FALSE,1,1.4,1.67,Light,2,27049
661Roey022-N5-2_S22_L001,661Roey022-N5-2_S22_L001,661Roey022-N5-2_S22_L001_R1_001_noPrimers.fastq.gz,6930,6808,6774,6746,6746,6746,Na_3,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,5,2,NA,FALSE,24.9,1.41,1.78,Heavy,3,6674
661Roey023-N5-3_S23_L001,661Roey023-N5-3_S23_L001,661Roey023-N5-3_S23_L001_R1_001_noPrimers.fastq.gz,13762,13573,13499,13393,13121,13104,Na_3,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,5,3,NA,FALSE,4.41,1.41,1.77,Heavy,3,12991
661Roey024-N5-4_S24_L001,661Roey024-N5-4_S24_L001,661Roey024-N5-4_S24_L001_R1_001_noPrimers.fastq.gz,17957,17610,17542,17385,17385,17381,Na_3,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,5,4,NA,FALSE,12.59,1.41,1.75,Heavy,3,17249
661Roey025-N5-5_S25_L001,661Roey025-N5-5_S25_L001,661Roey025-N5-5_S25_L001_R1_001_noPrimers.fastq.gz,20842,20527,20318,19931,19853,19593,Na_3,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,5,5,NA,FALSE,9.32,1.4,1.75,Heavy,3,19429
661Roey026-N5-6_S26_L001,661Roey026-N5-6_S26_L001,661Roey026-N5-6_S26_L001_R1_001_noPrimers.fastq.gz,11359,11231,11169,11102,11102,11096,Na_3,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,5,6,NA,FALSE,10.44,1.4,1.73,Heavy,3,10986
661Roey027-N5-7_S27_L001,661Roey027-N5-7_S27_L001,661Roey027-N5-7_S27_L001_R1_001_noPrimers.fastq.gz,23503,23118,22670,22365,22337,22103,Na_3,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,5,7,NA,FALSE,50.46,1.4,1.73,Light,3,21926
661Roey028-N5-8_S28_L001,661Roey028-N5-8_S28_L001,661Roey028-N5-8_S28_L001_R1_001_noPrimers.fastq.gz,15168,14939,14861,14728,14728,14088,Na_3,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,5,8,NA,FALSE,38.79,1.4,1.71,Light,3,13939
661Roey029-N5-9_S29_L001,661Roey029-N5-9_S29_L001,661Roey029-N5-9_S29_L001_R1_001_noPrimers.fastq.gz,25758,24612,24280,16783,16783,16471,Na_3,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,5,9,NA,FALSE,81.24,1.4,1.71,Light,3,16574
661Roey030-N5-10_S30_L001,661Roey030-N5-10_S30_L001,661Roey030-N5-10_S30_L001_R1_001_noPrimers.fastq.gz,29386,27934,27540,19402,19402,19027,Na_3,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,5,10,NA,FALSE,12.12,1.4,1.7,Light,3,18854
661Roey031-N5-11_S31_L001,661Roey031-N5-11_S31_L001,661Roey031-N5-11_S31_L001_R1_001_noPrimers.fastq.gz,19698,18528,18297,11053,11028,11014,Na_3,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,5,11,NA,FALSE,9.13,1.4,1.68,Light,3,10986
Angel125-TG5-2_S125_L001,Angel125-TG5-2_S125_L001,Angel125-TG5-2_S125_L001_R1_001_noPrimers.fastq.gz,24710,24334,23987,23586,23570,23357,Na_3,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,5,2,NA,FALSE,24.9,1.41,1.78,Heavy,3,23318
Angel126-TG5-3_S126_L001,Angel126-TG5-3_S126_L001,Angel126-TG5-3_S126_L001_R1_001_noPrimers.fastq.gz,24349,24002,23744,23288,23288,23220,Na_3,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,5,3,NA,FALSE,4.41,1.41,1.77,Heavy,3,22966
Angel127-TG5-4_S127_L001,Angel127-TG5-4_S127_L001,Angel127-TG5-4_S127_L001_R1_001_noPrimers.fastq.gz,23528,23082,22763,22223,22223,22031,Na_3,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,5,4,NA,FALSE,12.59,1.41,1.75,Heavy,3,21850
Angel128-TG5-5_S128_L001,Angel128-TG5-5_S128_L001,Angel128-TG5-5_S128_L001_R1_001_noPrimers.fastq.gz,32757,32159,31600,30460,30443,30146,Na_3,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,5,5,NA,FALSE,9.32,1.4,1.75,Heavy,3,29915
Angel129-TG5-6_S129_L001,Angel129-TG5-6_S129_L001,Angel129-TG5-6_S129_L001_R1_001_noPrimers.fastq.gz,68305,67028,66072,64380,64201,62679,Na_3,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,5,6,NA,FALSE,10.44,1.4,1.73,Heavy,3,61975
Angel130-TG5-7_S130_L001,Angel130-TG5-7_S130_L001,Angel130-TG5-7_S130_L001_R1_001_noPrimers.fastq.gz,31361,30710,30331,29498,29092,28090,Na_3,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,5,7,NA,FALSE,50.46,1.4,1.73,Light,3,27780
Angel131-TG5-8_S131_L001,Angel131-TG5-8_S131_L001,Angel131-TG5-8_S131_L001_R1_001_noPrimers.fastq.gz,27126,26620,26283,25675,25675,25602,Na_3,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,5,8,NA,FALSE,38.79,1.4,1.71,Light,3,25396
Angel132-TG5-9_S132_L001,Angel132-TG5-9_S132_L001,Angel132-TG5-9_S132_L001_R1_001_noPrimers.fastq.gz,28269,27726,27279,26625,26625,26256,Na_3,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,5,9,NA,FALSE,81.24,1.4,1.71,Light,3,26285
Angel133-TG5-10_S133_L001,Angel133-TG5-10_S133_L001,Angel133-TG5-10_S133_L001_R1_001_noPrimers.fastq.gz,37881,37222,36750,35604,35377,34648,Na_3,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,5,10,NA,FALSE,12.12,1.4,1.7,Light,3,34686
Angel134-TG5-11_S134_L001,Angel134-TG5-11_S134_L001,Angel134-TG5-11_S134_L001_R1_001_noPrimers.fastq.gz,25347,24941,24537,24149,23983,23731,Na_3,Natural,Labelled,96,29/11/2020,1,06/05/2021,1,5,11,NA,FALSE,9.13,1.4,1.68,Light,3,23611
661Roey032-N7-2_S32_L001,661Roey032-N7-2_S32_L001,661Roey032-N7-2_S32_L001_R1_001_noPrimers.fastq.gz,27780,27264,26991,26380,25563,25417,Na_4,Natural,Unlabelled,96,17/02/2021,1,06/05/2021,1,7,2,NA,FALSE,11.54,1.41,1.78,Heavy,4,25144
